,epoch,test_acc,test_loss,train_acc,train_loss
0,0,0.0845070406794548,3.1484100818634033,0.30287499999999995,14.572374596595765
1,10,0.6577464938163757,1.042844295501709,0.9574999999999997,1.632018972709775
2,20,0.6901408433914185,1.0007600784301758,0.9533749999999998,1.0447923591174186
3,30,0.6788732409477234,0.9493006467819214,0.9798749999999999,0.592454625563696
4,40,0.6478873491287231,1.2038612365722656,0.9748749999999999,0.5121463826298713
5,50,0.6549295783042908,1.1543422937393188,0.9914999999999996,0.2822391927195713
6,60,0.6732394099235535,1.0542981624603271,0.9982499999999997,0.16806983978953213
7,70,0.6971830725669861,1.0838009119033813,0.9953749999999998,0.16477853644406423
8,80,0.6281690001487732,1.4427242279052734,0.9983749999999999,0.1034426035755314
9,90,0.6661971807479858,1.3195040225982666,0.9984999999999998,0.0739879975351505
10,100,0.6507042050361633,1.373590350151062,0.9993749999999999,0.047671587597578766
11,110,0.6830986142158508,1.233734369277954,0.9994999999999998,0.03167424852552358
12,120,0.6507042050361633,1.4872639179229736,1.0,0.024163226501550526
13,130,0.674647867679596,1.3510594367980957,0.9832500000000003,0.5439486097791815
14,140,0.6577464938163757,1.555403232574463,0.9938749999999996,0.0956517397321295
15,150,0.6661971807479858,1.4146267175674438,0.9840000000000002,0.42496301804523684
16,160,0.674647867679596,1.4004123210906982,0.9941249999999997,0.11551159720576834
17,170,0.6394366025924683,1.7082810401916504,0.9849999999999999,0.2266351437983394
18,180,0.6478873491287231,1.6165060997009277,0.9997499999999999,0.013728499996941536
19,190,0.6492957472801208,1.8292509317398071,1.0,0.0039026741428824607
20,200,0.608450710773468,2.1618878841400146,1.0,0.0047951822197501315
